O_Trip,D_Trip,T_Trip,Capacity,Int_points,Grocery,School,Hospital,Transit,Pop,Pec_Whi,Med_age,HH_2010,HH_ACS,Pec_01_V,Income,T_work,Emp_rate,WBN_len,WBN_des,BN_len,BN_des,Crash,Crime,UndSer_Lvl,UndSer_Cod
7435,7511,14946,19,166,0,6,0,4,5224.740234,84.8824997,28.0692997,1629.579956,1568.449951,64.5126038,87281.70313,2743.639893,93.5539017,7299.119632,145.2113712,3658.884198,72.79118829,35,191,Moderately served,0
9291,8159,17450,19,127,1,0,0,11,2714.370117,68.6368027,33.8286018,1353.76001,1554.689941,81.3637009,116704,2265.379883,95.1260986,4506.537915,89.65472317,3521.583925,70.05968615,200,445,Moderately served,0
37747,39701,77448,23,185,6,6,10,17,8897.019531,80.7171021,51.0186005,5273,5571.660156,92.9517975,105759,5576.149902,93.9420013,4485.866276,89.24347398,2419.040449,48.12528062,190,1182,Moderately served,0
10087,9396,19483,19,1139,3,4,1,7,7755.589844,66.5755005,36.8802986,4660.359863,5099.75,89.5014038,104533,5190.109863,95.9825974,15653.70369,311.42054,6499.02386,129.2939716,226,623,Moderately served,0
5919,5613,11532,15,89,7,6,1,11,6755.649902,68.572403,38.0052986,4277.740234,4138.200195,89.4144974,58463.30078,5000.589844,90.9160995,5358.745375,106.6088519,2581.553571,51.35837647,73,320,Moderately served,0
5089,5381,10470,19,80,1,7,1,12,3963.649902,77.2939987,31.4545994,1747.599976,1814.979981,63.9827995,84863.79688,2888.800049,93.5485992,6888.601989,137.0443822,652.3965375,12.97901672,66,140,Moderately served,0
6689,6867,13556,19,116,1,2,1,4,2596.699951,51.1124992,41.485199,1435.069946,1421.550049,89.3427963,55273.80078,1402.949951,94.4391022,6357.376752,126.4759919,5026.922716,100.0074498,108,175,Moderately served,0
3057,2754,5811,11,41,1,2,1,6,4066.330078,81.0737991,31.1100998,1891.400024,1841.589966,66.8749008,97836.60156,3029.27002,94.417099,4800.757119,95.50802826,992.77348,19.75060084,86,159,Adequately served,1
9969,9854,19823,15,658,0,20,0,14,1723.729981,59.0876999,26.6714001,689.5960083,662.0789795,74.5221024,67845.89844,1221.579956,90.5905991,15618.7467,310.7250927,7220.538589,143.648051,22,94,Moderately served,0
14234,15158,29392,23,49,2,5,4,13,6107.689941,69.5882034,30.8383007,3220.790039,3005.090088,88.1503983,54527.30078,3993.75,91.6880035,5080.338882,101.0701307,1720.966127,34.23753326,97,376,Moderately served,0
4961,5453,10414,15,114,0,6,0,15,3366.669922,84.3868027,33.4594002,1763.979981,1739,70.0307007,71597,2513.050049,97.1977005,6276.642371,124.8698324,1731.809031,34.45324597,36,169,Moderately served,0
5351,5132,10483,15,40,2,3,3,8,3608.729981,80.2998962,32.9877014,1942.449951,1878.380005,77.9200974,62881.89844,2641.810059,93.8376007,5040.051609,100.2686409,3385.187036,67.34615627,36,177,Moderately served,0
15026,15316,30342,31,186,0,0,0,1,305.9819946,65.8897018,49.0502014,133.0359955,111.2509995,78,49130.19922,148.529007,92.3528976,6557.071912,130.4488009,5820.760993,115.8003606,12,41,Moderately served,0
3220,2947,6167,19,187,0,10,0,7,3335.679932,59.4562988,29.9057999,1509.910034,1467.319946,80.710701,55418.30078,1732.390015,94.6921005,7956.637943,158.2922824,2780.563999,55.31756314,21,108,Moderately served,0
4708,4601,9309,15,201,1,1,1,2,5183.729981,47.4609985,30.3934002,1788,1798.550049,74.0374985,45132.80078,2759.159912,91.2325974,8311.392333,165.3498967,3904.288619,77.67335412,67,240,Moderately served,0
1076,983,2059,15,86,1,2,0,10,4025.570068,36.0460014,29.8502007,1280.26001,1233.900024,83.6116028,29640.09961,1493.02002,78.9871979,5491.748849,109.2548719,1889.890203,37.59817096,53,283,Moderately served,0
4193,4620,8813,19,126,3,5,1,7,7893.569824,54.7635002,35.6641006,4343.729981,3966.25,89.2966995,38054.10156,4614.580078,88.8620987,7106.990953,141.3890926,3100.322714,61.67896065,60,296,Moderately served,0
